,IoU,F1,Precision,Recall,TP,TN,FP,FN,Fold,Img_id,Name
58,0.2878072405860273,0.446972546069951,0.3675394289248531,0.5702063009755317,42786,506698,73626,32250,5,58,pspnet_tu-mobilenetv3_large_150d
59,0.2868322960414242,0.4457959237171505,0.3692140686061658,0.5624607243261122,17006,596071,29054,13229,5,59,pspnet_tu-mobilenetv3_large_150d
60,0.1887362325422959,0.3175409773430634,0.4156539134783696,0.2569008685975704,16622,567290,23368,48080,6,60,pspnet_tu-mobilenetv3_large_150d
61,0.3339898728775307,0.5007382434726972,0.5234475484899933,0.4799174528301886,40697,533509,37051,44103,6,61,pspnet_tu-mobilenetv3_large_150d
62,0.2391232431782184,0.3859555447687235,0.5451169487071084,0.2987326077972172,47707,455852,39810,111991,6,62,pspnet_tu-mobilenetv3_large_150d
63,0.284133269272188,0.4425292546671999,0.5099461806071779,0.39085646565477,17150,595001,16481,26728,6,63,pspnet_tu-mobilenetv3_large_150d
64,0.2729204136690647,0.4288098623265835,0.4846011057663519,0.3845386296683455,24279,566400,25822,38859,6,64,pspnet_tu-mobilenetv3_large_150d
65,0.2822028985507246,0.4401844651415137,0.4843540122381971,0.4033975554174435,48680,482860,51825,71995,6,65,pspnet_tu-mobilenetv3_large_150d
66,0.3958252677764873,0.5671558996879694,0.46131931127636,0.7360131792675724,159497,252412,186244,57207,6,66,pspnet_tu-mobilenetv3_large_150d
67,0.2871962389917672,0.4462353606886263,0.3829874908020603,0.5345054222806441,26024,564746,41926,22664,6,67,pspnet_tu-mobilenetv3_large_150d
68,0.3188900338126479,0.4835733467342997,0.4468963615517466,0.5268087800037639,61585,462237,76221,55317,6,68,pspnet_tu-mobilenetv3_large_150d
69,0.3164849447613546,0.4808029837648091,0.4927856687778735,0.4693892121515011,13149,613813,13534,14864,6,69,pspnet_tu-mobilenetv3_large_150d
70,0.3440856707979995,0.5119996117415817,0.4036990975477534,0.6997114842532306,63298,471400,93497,27165,7,70,pspnet_tu-mobilenetv3_large_150d
71,0.2239905267921908,0.3660004254758745,0.4139151754004078,0.328027964408934,36129,494063,51157,74011,7,71,pspnet_tu-mobilenetv3_large_150d
72,0.247591957605985,0.3969117564385255,0.2718653466024319,0.7349634496159896,31771,527040,85092,11457,7,72,pspnet_tu-mobilenetv3_large_150d
73,0.2440931814881656,0.3924033747957448,0.4058705849889624,0.3798011748757343,11767,607153,17225,19215,7,73,pspnet_tu-mobilenetv3_large_150d
74,0.1485072881752279,0.2586092220819589,0.4788859843153026,0.1771323379014113,9526,591215,10366,44253,7,74,pspnet_tu-mobilenetv3_large_150d
75,0.2801432586012783,0.4376748566521704,0.462259734940464,0.415572972830804,31601,542557,36761,44441,7,75,pspnet_tu-mobilenetv3_large_150d
76,0.2036050798852929,0.3383253914227365,0.4976031553398058,0.2562896521548895,16401,574807,16559,47593,7,76,pspnet_tu-mobilenetv3_large_150d
77,0.3459170900943639,0.5140243669394393,0.4551416066298674,0.5904066959974246,60522,480399,72452,41987,7,77,pspnet_tu-mobilenetv3_large_150d
